name,amount
Melissa Castillo,10065.2
Donald Walsh,39322.17
Kelly Mccormick,27034.99
Joseph Monroe,25176.47
Courtney Wilson,9448.59
Erica Stone,36201.88
Michelle Jefferson,79983.06
Gary Franklin,30090.94
Dylan Snyder,62328.67
Lauren Johnson,95187.89
Karen Butler,61115.53
John Castillo,39298.43
Eric Hogan,4862.25
Samuel Brown,5400.77
Erik Rocha,30717.09
Gina Martin,44979.03
Kyle Paul,42003.59
Christopher Peterson,12167.33
Roy Clark,63589.68
Travis Vargas,56848.17
Lindsay Reynolds,78038.73
Steven Mccormick,52353.78
Richard Perez,92309.95
Bryan Roberts,20978.15
Kelly Lopez,84835.55
Joshua Juarez,85241.29
Mr. Chase Yang,48170.26
Cynthia Peterson,8762.03
Amanda Dunn,90569.16
Ashley Pham,76494.97
Kevin Ritter,24887.48
Patricia Armstrong,80666.6
Angela Fields,5042.84
Stephanie Marshall,51820.0
William Rice,94571.78
Joseph Trevino,49260.75
Brian Davis,69541.47
Kathleen Morgan,37270.73
Angela Peterson,86455.55
Christina Terry,71413.62
Jessica Garcia,3773.41
Lauren Adams,23108.23
Nicholas Martin,17962.47
Donald Summers,82093.11
John Hansen,83360.41
James Berry,73850.66
Dr. Beverly Myers,17486.32
Kenneth Moore,61235.89
Amanda Johnson,94942.31
Mary Stewart,88620.81
Gabrielle Craig DDS,48236.22
Brian Pace,67707.57
Katherine Woods,51473.47
Albert Chapman,1322.64
Toni Clements,60883.71
Michael Mendoza,55807.66
Chris Carpenter,72844.63
Madeline Miller,24445.06
Dustin Decker,20130.5
David Carpenter,92010.5
Lisa Sanford,28177.38
Erin Day,3259.26
Lynn Harper,45958.97
Adam Burke,62491.37
Misty Miller,27959.1
Brittany Mann,92390.2
Robert Lopez,30954.47
Deanna White,8374.98
Victoria Long,1634.42
Cynthia Diaz,53260.64
Sandra Anderson,58356.43
John Mccarthy,26546.16
Elizabeth Erickson,50144.97
Rodney Dennis,61929.93
Melinda Rosario,36862.08
Kristen Carter,95806.99
Cody Andersen,48083.54
Kelly Pope,48862.53
Heather Coleman,46366.17
Leslie Ryan,60949.46
Kelly Herrera,29664.24
Heidi Carter,26230.4
David Harris,18571.21
Edward Arnold,14236.02
Bobby White,37638.46
Victor Butler,80768.66
Steven Brooks,9483.3
Susan Hudson,64113.28
Emma Taylor,34948.82
Johnathan Reese,37416.0
Aaron Trevino,87276.91
Jennifer Bryan,91069.76
Jessica Smith,74369.41
Heidi Barton,53703.13
Kelli King,66461.18
Michael Reed,73391.68
Alicia Joseph,52264.26
Elizabeth Smith,85344.12
Emily Jenkins,74279.25
Kaitlin Torres,29710.23
Danielle Cox,25896.06
Donald Russo,23264.48
Nancy Wilson,26808.78
Paul Anderson,27215.4
Jacob Harrison,40864.29
Nicole Jones,97575.65
Mr. Erik Duncan,34293.13
Donna Olson,42646.57
Christopher Rose,14350.44
Penny Holland,80173.04
Robert White,45521.4
Jennifer Haynes,96928.39
Jeremy Morgan,63629.57
Peter Campbell,6303.4
David Mcconnell,3743.88
Joseph Lewis,53340.95
Sheryl Bauer,69446.59
Joseph Murphy,73368.71
Ricky Clarke,60025.43
Ronald Richard,90630.36
Margaret Hall,28353.07
Evan Wright,17755.8
Elizabeth Flores,64680.45
James Castillo MD,24541.23
Willie Arellano,35524.48
Judith Arias,32092.52
Samantha Garrison,15776.75
Jeffrey Potter,82249.23
Oscar Robertson,41692.18
Richard Powers,48209.67
Adrian Taylor,28191.92
Rita Boyd,19969.19
Jacob Esparza,63681.34
Alexandra Floyd,68188.75
Eric Sanchez,95769.9
Michelle Brown,20721.35
Reginald Crane,98754.96
Jessica Rice,15176.3
Katrina Fernandez,69749.4
Anthony Beck,53358.62
Michelle Brown,87711.76
John Moss,45567.35
Dalton Hill,47318.7
Kiara Cannon,45679.7
Chad Archer,54168.55
John Hernandez,44378.56
Nancy Rivers,48612.82
Sarah Cox,85092.99
Toni Thomas,1231.36
Brandon Harris,68222.03
Teresa Taylor,41942.53
Justin Davis,58173.58
John Wilkerson,87368.08
John Jenkins,79990.91
Jessica Stephens,28413.82
James Davila,2563.14
Joshua Fitzgerald,14062.85
Stephanie Walker,86717.14
Ryan Mendoza,23323.88
Linda Cole,63960.07
